Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1893-03-19,,68,35,0.02,0,
1893-03-20,,66,51,1.17,0,
1893-03-21,,86,55,0.32,0,
1893-03-22,,82,60,,0,
1893-03-23,,80,69,,0,
1893-03-24,,83,62,0,0,
1893-03-25,,80,52,,0,
1893-03-26,,77,49,,0,
1893-03-27,,73,43,,0,
1893-03-28,,75,44,,0,
1893-03-29,,65,44,,0,
1893-03-30,,72,35,,0,
1893-03-31,,72,43,,0,
1893-04-01,,82,55,0,,
1893-04-02,,85,61,0,,
1893-04-03,,85,61,0,,
1893-04-04,,89,67,0,,
1893-04-05,,87,63,0,,
1893-04-06,,86,66,0,,
1893-04-07,,86,68,0,,
1893-04-08,,87,68,0,,
1893-04-09,,88,67,0,,
1893-04-10,,91,68,0,,
1893-04-11,,88,68,0,,
1893-04-12,,82,70,0,,
1893-04-13,,88,68,0,,
1893-04-14,,82,61,1.03,,
1893-04-15,,66,51,0,,
1893-04-16,,75,57,0,,
1893-04-17,,82,47,0,,
1893-04-18,,83,48,0,,
1893-04-19,,87,62,0.53,,
1893-04-20,,76,44,0,,
1893-04-21,,81,48,0,,
1893-04-22,,86,51,0,,
1893-04-23,,87,53,0,,
1893-04-24,,85,62,0,,
1893-04-25,,87,70,0,,
1893-04-26,,88,72,0,,
1893-04-27,,87,69,0.08,,
1893-04-28,,90,68,0,,
1893-04-29,,88,69,0,,
1893-04-30,,85,72,0,,
1893-05-01,,86,68,0.42,0,
1893-05-02,,79,64,2.57,0,
1893-05-03,,79,56,0.2,0,
1893-05-04,,86,52,0,0,
1893-05-05,,88,64,0,0,
1893-05-06,,87,72,0,0,
1893-05-07,,82,65,1,0,
1893-05-08,,88,68,0.18,0,
1893-05-09,,84,66,0.01,0,
1893-05-10,,88,65,0,0,
1893-05-11,,88,67,0,0,
1893-05-12,,90,64,0,0,
1893-05-13,,91,64,0,0,
1893-05-14,,83,68,0.18,0,
1893-05-15,,88,68,0.52,0,
1893-05-16,,84,65,0.01,0,
1893-05-17,,82,54,0,0,
1893-05-18,,87,53,0,0,
1893-05-19,,88,57,0,0,
1893-05-20,,90,58,0,0,
1893-05-21,,92,62,0,0,
1893-05-22,,,,0,0,
1893-05-23,,93,69,0.01,0,
1893-05-24,,93,60,0,0,
1893-05-25,,95,68,0,0,
1893-05-26,,94,70,0,0,
1893-05-27,,94,70,0,0,
1893-05-28,,94,69,0,0,
1893-05-29,,89,72,0.03,0,
1893-05-30,,95,63,0,0,
1893-05-31,,92,72,0,0,
1893-06-01,,93,67,,0,
1893-06-02,,96,75,,0,
1893-06-03,,93,78,1.03,0,
1893-06-04,,90,74,0.22,0,
1893-06-05,,88,71,0.95,0,
1893-06-06,,74,68,0.46,0,
1893-06-07,,84,67,0.01,0,
1893-06-08,,90,70,0,0,
1893-06-09,,90,70,0.65,0,
1893-06-10,,93,70,0.01,0,
1893-06-11,,89,70,0.13,0,
1893-06-12,,91,71,,0,
1893-06-13,,94,69,,0,
1893-06-14,,93,69,,0,
1893-06-15,,97,69,,0,
1893-06-16,,92,69,,0,
1893-06-17,,89,70,0.16,0,
1893-06-18,,85,72,0.13,0,
1893-06-19,,88,72,0.64,0,
1893-06-20,,89,75,,0,
1893-06-21,,92,72,,0,
1893-06-22,,95,70,,0,
1893-06-23,,98,72,,0,
1893-06-24,,98,72,,0,
1893-06-25,,99,74,,0,
1893-06-26,,99,74,,0,
1893-06-27,,100,74,,0,
1893-06-28,,98,72,0.23,0,
1893-06-29,,94,69,0.01,0,
1893-06-30,,97,72,,0,
1893-07-01,,94,74,1.08,0,
1893-07-02,,95,72,,0,
1893-07-03,,99,72,0,0,
1893-07-04,,99,73,,0,
1893-07-05,,98,70,0.18,0,
1893-07-06,,97,73,0.08,0,
1893-07-07,,94,74,0.15,0,
1893-07-08,,97,72,0.01,0,
1893-07-09,,98,72,,0,
1893-07-10,,97,73,0.28,0,
1893-07-11,,95,72,2.59,0,
1893-07-12,,87,72,0.09,0,
1893-07-13,,93,72,,0,
1893-07-14,,96,71,,0,
1893-07-15,,96,71,,0,
1893-07-16,,96,72,0.01,0,
1893-07-17,,96,72,,0,
1893-07-18,,98,72,,0,
1893-07-19,,99,72,,0,
1893-07-20,,99,73,,0,
1893-07-21,,89,70,0.81,0,
1893-07-22,,89,71,,0,
1893-07-23,,93,66,0.11,0,
1893-07-24,,93,71,0.25,0,
1893-07-25,,89,71,,0,
1893-07-26,,101,72,,0,
1893-07-27,,99,75,,0,
1893-07-28,,99,73,,0,
1893-07-29,,95,74,0.21,0,
1893-07-30,,94,73,0.15,0,
1893-07-31,,98,70,0.16,0,
1893-08-01,,96,72,0,0,
1893-08-02,,96,72,,0,
1893-08-03,,95,73,0.42,0,
1893-08-04,,92,72,,0,
1893-08-05,,89,72,0.12,0,
1893-08-06,,84,72,,0,
1893-08-07,,94,71,,0,
1893-08-08,,95,72,,0,
1893-08-09,,98,70,0.52,0,
1893-08-10,,92,68,0.04,0,
1893-08-11,,95,71,0.09,0,
1893-08-12,,94,72,0.73,0,
1893-08-13,,91,72,,0,
1893-08-14,,84,74,0.27,0,
1893-08-15,,90,73,0.22,0,
1893-08-16,,96,71,0.11,0,
1893-08-17,,98,69,,0,
1893-08-18,,98,73,,0,
1893-08-19,,96,73,,0,
1893-08-20,,95,66,,0,
1893-08-21,,91,65,,0,
1893-08-22,,95,61,,0,
1893-08-23,,98,63,,0,
1893-08-24,,97,68,0.6,0,
1893-08-25,,95,68,0,0,
1893-08-26,,98,69,,0,
1893-08-27,,97,70,,0,
1893-08-28,,97,70,0,0,
1893-08-29,,91,69,0.09,0,
1893-08-30,,92,65,,0,
1893-08-31,,92,67,,0,
1893-09-01,,93,67,0,0,
1893-09-02,,94,66,0,0,
1893-09-03,,99,63,0,0,
1893-09-04,,98,64,0,0,
1893-09-05,,90,72,0,0,
1893-09-06,,75,67,0.33,0,
1893-09-07,,72,67,2.8,0,
1893-09-08,,76,66,0.82,0,
1893-09-09,,84,72,0,0,
1893-09-10,,92,66,0,0,
1893-09-11,,98,70,0,0,
1893-09-12,,94,73,0,0,
1893-09-13,,98,72,0,0,
1893-09-14,,97,66,0,0,
1893-09-15,,98,68,0,0,
1893-09-16,,96,66,0,0,
1893-09-17,,99,66,0,0,
1893-09-18,,98,66,0,0,
1893-09-19,,97,66,0,0,
1893-09-20,,98,68,0,0,
1893-09-21,,97,66,0,0,
1893-09-22,,97,69,0,0,
1893-09-23,,98,68,0,0,
1893-09-24,,96,68,0,0,
1893-09-25,,96,67,0.26,0,
1893-09-26,,82,67,0.01,0,
1893-09-27,,87,63,0,0,
1893-09-28,,92,62,0,0,
1893-09-29,,92,68,0.12,0,
1893-09-30,,94,72,0,0,
1893-10-01,,86,74,0,,
1893-10-02,,92,69,0,,
1893-10-03,,90,68,0,,
1893-10-04,,88,54,0,,
1893-10-05,,90,58,0.2,,
1893-10-06,,88,66,0.6,,
1893-10-07,,82,48,0,,
1893-10-08,,84,48,0,,
1893-10-09,,89,49,0,,
1893-10-10,,92,54,0,,
1893-10-11,,94,60,0,,
1893-10-12,,87,61,0,,
1893-10-13,,76,48,0,,
1893-10-14,,76,48,0,,
1893-10-15,,74,39,0,,
1893-10-16,,76,42,0,,
1893-10-17,,81,49,0,,
1893-10-18,,84,58,0,,
1893-10-19,,83,53,0,,
1893-10-20,,83,53,0,,
1893-10-21,,82,52,0,,
1893-10-22,,81,47,0,,
1893-10-23,,86,40,0,,
1893-10-24,,89,45,0,,
1893-10-25,,88,54,0,,
1893-10-26,,90,54,0,,
1893-10-27,,77,59,0.18,,
1893-10-28,,70,39,0,,
1893-10-29,,73,41,0,,
1893-10-30,,75,40,0,,
1893-10-31,,81,40,0,,
1893-11-01,,84,44,,0,
1893-11-02,,81,56,,0,
1893-11-03,,88,59,,0,
1893-11-04,,76,62,1.32,0,
1893-11-05,,66,56,0.04,0,
1893-11-06,,70,43,,0,
1893-11-07,,70,42,0.01,0,
1893-11-08,,64,45,0.81,0,
1893-11-09,,63,51,0.02,0,
1893-11-10,,74,43,,0,
1893-11-11,,80,44,,0,
1893-11-12,,72,52,,0,
1893-11-13,,73,54,,0,
1893-11-14,,69,44,0.95,0,
1893-11-15,,62,30,,0,
1893-11-16,,72,34,,0,
1893-11-17,,72,49,0,0,
1893-11-18,,75,60,0.24,0,
1893-11-19,,71,57,0.91,0,
1893-11-20,,72,56,,0,
1893-11-21,,79,53,0.3,0,
1893-11-22,,83,43,,0,
1893-11-23,,72,49,,0,
1893-11-24,,56,30,,0,
1893-11-25,,57,33,0,0,
1893-11-26,,66,41,0.85,0,
1893-11-27,,66,50,1.8,0,
1893-11-28,,75,40,,0,
1893-11-29,,78,49,,0,
1893-11-30,,79,59,0.03,0,
1893-12-01,,83,61,0.02,0,
1893-12-02,,76,59,0,0,
1893-12-03,,71,41,0.31,0,
1893-12-04,,51,27,0,0,
1893-12-05,,62,26,0,0,
1893-12-06,,51,36,1.57,0,
1893-12-07,,58,36,0,0,
1893-12-08,,62,30,0,0,
1893-12-09,,77,52,0.11,0,
1893-12-10,,76,42,0,0,
1893-12-11,,73,48,0,0,
1893-12-12,,73,58,0.1,0,
1893-12-13,,73,68,0.02,0,
1893-12-14,,79,57,0,0,
1893-12-15,,77,61,0,0,
1893-12-16,,71,49,0.51,0,
1893-12-17,,64,37,0,0,
1893-12-18,,68,34,0,0,
1893-12-19,,72,41,0,0,
1893-12-20,,66,44,0,0,
1893-12-21,,71,39,0,0,
1893-12-22,,74,40,0,0,
1893-12-23,,75,42,0,0,
1893-12-24,,76,60,0.1,0,
1893-12-25,,78,64,0.26,0,
1893-12-26,,74,59,0.01,0,
1893-12-27,,77,42,0,0,
1893-12-28,,76,46,0,0,
1893-12-29,,77,,0.02,0,
1893-12-30,,,56,0.38,0,
1893-12-31,,65,36,0,0,
1894-01-01,,64,28,0,,
1894-01-02,,64,29,0,,
1894-01-03,,66,45,0,,
1894-01-04,,72,56,0.09,,
1894-01-05,,76,64,0.02,,
1894-01-06,,80,64,1.01,,
1894-01-07,,71,56,0.32,,
1894-01-08,,63,52,0,,
1894-01-09,,75,58,1.28,,
1894-01-10,,67,59,0.1,,
1894-01-11,,67,57,0.32,,
1894-01-12,,63,43,0,,
1894-01-13,,73,42,0,,
1894-01-14,,70,55,0,,
1894-01-15,,77,57,0.25,,
1894-01-16,,79,45,0.01,,
1894-01-17,,78,54,0,,
1894-01-18,,81,56,0,,
1894-01-19,,78,60,0,,
1894-01-20,,73,46,0.49,,
1894-01-21,,70,38,0.02,,
1894-01-22,,72,37,0,,
1894-01-23,,75,39,0,,
1894-01-24,,68,34,0.01,,
1894-01-25,,41,22,0,,
1894-01-26,,48,26,0,,
1894-01-27,,54,26,0,,
1894-01-28,,54,40,0.45,,
1894-01-29,,60,41,0,,
1894-01-30,,65,29,0,,
1894-01-31,,72,46,0,,
1894-02-01,,78,61,0.05,0,
1894-02-02,,78,63,0,0,
1894-02-03,,72,64,0,0,
1894-02-04,,71,41,0.12,0,
1894-02-05,,71,32,0,0,
1894-02-06,,70,33,0,0,
1894-02-07,,76,58,0,0,
1894-02-08,,71,56,0.28,0,
1894-02-09,,78,51,0,0,
1894-02-10,,70,51,0.04,0,
1894-02-11,,73,52,0.01,0,
1894-02-12,,71,36,0.12,0,
1894-02-13,,51,34,0,0,
1894-02-14,,45,40,0.12,0,
1894-02-15,,52,30,0,0,
1894-02-16,,59,26,0,0,
1894-02-17,,69,47,0.01,0,
1894-02-18,,80,57,0,0,
1894-02-19,,81,61,0.34,0,
1894-02-20,,81,59,0.05,0,
1894-02-21,,65,54,2.65,0,
1894-02-22,,54,39,0.44,0,
1894-02-23,,39,36,1.05,0,
1894-02-24,,37,33,0.05,0,
1894-02-25,,41,30,0,0,
1894-02-26,,59,26,0,0,
1894-02-27,,67,33,0,0,
1894-02-28,,63,48,0.51,0,
1894-03-01,,72,42,0.01,0,
1894-03-02,,76,46,0,0,
1894-03-03,,78,48,0,0,
1894-03-04,,80,58,0,0,
1894-03-05,,76,66,0,0,
1894-03-06,,78,52,0.3,0,
1894-03-07,,79,53,0.01,0,
1894-03-08,,81,56,0,0,
1894-03-09,,82,55,0.82,0,
1894-03-10,,81,61,0,0,
1894-03-11,,83,65,0,0,
1894-03-12,,78,61,0,0,
1894-03-13,,83,53,0,0,
1894-03-14,,81,63,0,0,
1894-03-15,,79,66,0,0,
1894-03-16,,83,62,0.24,0,
1894-03-17,,80,61,1.39,0,
1894-03-18,,83,70,0,0,
1894-03-19,,81,72,0,0,
1894-03-20,,81,63,1.98,0,
1894-03-21,,82,61,0,0,
1894-03-22,,82,70,0,0,
1894-03-23,,76,51,0.98,0,
1894-03-24,,66,49,0.73,0,
1894-03-25,,58,49,0.18,0,
1894-03-26,,56,34,0,0,
1894-03-27,,57,32,0,0,
1894-03-28,,66,37,0,0,
1894-03-29,,62,36,0.85,0,
1894-03-30,,69,35,0,0,
1894-03-31,,76,51,0,0,
1894-04-01,,79,59,0,0,
1894-04-02,,81,58,0.03,0,
1894-04-03,,80,62,0,0,
1894-04-04,,81,63,0.05,0,
1894-04-05,,77,58,0.58,0,
1894-04-06,,74,52,0,0,
1894-04-07,,79,48,0,0,
1894-04-08,,83,61,0,0,
1894-04-09,,82,68,0,0,
1894-04-10,,76,53,0.26,0,
1894-04-11,,81,52,0,0,
1894-04-12,,85,55,0.01,0,
1894-04-13,,86,67,0,0,
1894-04-14,,82,62,0.08,0,
1894-04-15,,87,70,0,0,
1894-04-16,,92,68,0,0,
1894-04-17,,87,71,0,0,
1894-04-18,,87,69,0,0,
1894-04-19,,90,65,0.42,0,
1894-04-20,,88,55,0,0,
1894-04-21,,87,57,0,0,
1894-04-22,,89,58,0,0,
1894-04-23,,86,60,0.06,0,
1894-04-24,,83,64,1.2,0,
1894-04-25,,83,63,0.68,0,
1894-04-26,,86,58,0,0,
1894-04-27,,87,61,0.14,0,
1894-04-28,,88,68,0,0,
1894-04-29,,89,71,0,0,
1894-04-30,,88,70,0,0,
1894-05-01,,90,70,0,0,
1894-05-02,,86,66,0.08,0,
1894-05-03,,90,62,0,0,
1894-05-04,,89,61,0,0,
1894-05-05,,87,63,0,0,
1894-05-06,,86,64,0,0,
1894-05-07,,91,65,0,0,
1894-05-08,,90,63,0,0,
1894-05-09,,92,63,0,0,
1894-05-10,,94,66,0,0,
1894-05-11,,95,66,0.04,0,
1894-05-12,,93,66,0,0,
1894-05-13,,88,66,1.08,0,
1894-05-14,,86,66,0.02,0,
1894-05-15,,87,65,0.08,0,
1894-05-16,,89,66,1.1,0,
1894-05-17,,89,67,0,0,
1894-05-18,,89,68,0,0,
1894-05-19,,72,57,0,0,
1894-05-20,,77,45,0,0,
1894-05-21,,86,51,0,0,
1894-05-22,,86,61,0,0,
1894-05-23,,90,62,0,0,
1894-05-24,,81,66,0.21,0,
1894-05-25,,83,60,0,0,
1894-05-26,,88,57,0,0,
1894-05-27,,91,59,0,0,
1894-05-28,,95,62,0,0,
1894-05-29,,95,64,0,0,
1894-05-30,,93,65,0,0,
1894-05-31,,91,64,0,0,
1894-06-01,,79,63,0,0,
1894-06-02,,86,57,0,0,
1894-06-03,,92,53,0,0,
1894-06-04,,91,58,0,0,
1894-06-05,,94,58,0,0,
1894-06-06,,92,64,0,0,
1894-06-07,,88,63,0.12,0,
1894-06-08,,93,62,0,0,
1894-06-09,,92,66,0.02,0,
1894-06-10,,88,67,0,0,
1894-06-11,,87,68,0.1,0,
1894-06-12,,85,68,0.06,0,
1894-06-13,,92,67,0,0,
1894-06-14,,92,66,0.12,0,
1894-06-15,,92,70,0.01,0,
1894-06-16,,92,66,0,0,
1894-06-17,,91,70,0.01,0,
1894-06-18,,90,68,0.16,0,
1894-06-19,,94,70,0.02,0,
1894-06-20,,95,71,0.02,0,
1894-06-21,,95,67,0.31,0,
1894-06-22,,93,68,0,0,
1894-06-23,,96,68,0,0,
1894-06-24,,91,70,0.44,0,
1894-06-25,,91,69,0.2,0,
1894-06-26,,93,71,0,0,
1894-06-27,,93,70,0,0,
1894-06-28,,96,68,0,0,
1894-06-29,,99,70,0,0,
1894-06-30,,101,72,0,0,
1894-07-01,,104,72,0,0,
1894-07-02,,100,72,0,0,
1894-07-03,,103,68,0,0,
1894-07-04,,94,68,0.67,0,
1894-07-05,,90,73,0.31,0,
1894-07-06,,89,75,0.18,0,
1894-07-07,,90,78,0.2,0,
1894-07-08,,92,72,0.2,0,
1894-07-09,,88,72,0.2,0,
1894-07-10,,77,66,0.13,0,
1894-07-11,,86,63,0,0,
1894-07-12,,93,64,0,0,
1894-07-13,,93,69,1.45,0,
1894-07-14,,85,68,0,0,
1894-07-15,,83,69,0.02,0,
1894-07-16,,92,77,0,0,
1894-07-17,,89,69,0.2,0,
1894-07-18,,80,71,0.24,0,
1894-07-19,,90,66,0,0,
1894-07-20,,86,72,0.35,0,
1894-07-21,,85,71,1.84,0,
1894-07-22,,87,72,0.24,0,
1894-07-23,,89,67,0,0,
1894-07-24,,91,65,0,0,
1894-07-25,,92,65,0,0,
1894-07-26,,93,68,0,0,
1894-07-27,,95,68,0.41,0,
1894-07-28,,86,70,0.12,0,
1894-07-29,,87,69,0.02,0,
1894-07-30,,87,69,0.35,0,
1894-07-31,,92,70,0,0,
1894-08-01,,93,72,0,0,
1894-08-02,,92,73,0,0,
1894-08-03,,92,73,1.18,0,
1894-08-04,,91,69,0.14,0,
1894-08-05,,89,65,0,0,
1894-08-06,,91,67,0,0,
1894-08-07,,93,68,0,0,
1894-08-08,,95,69,0.02,0,
1894-08-09,,90,73,0.11,0,
1894-08-10,,85,73,0.38,0,
1894-08-11,,92,71,0.03,0,
1894-08-12,,94,71,0,0,
1894-08-13,,95,74,0,0,
1894-08-14,,92,74,0.73,0,
1894-08-15,,92,70,0.12,0,
1894-08-16,,90,72,1.36,0,
1894-08-17,,87,71,0.87,0,
1894-08-18,,85,72,0.45,0,
1894-08-19,,89,68,0,0,
1894-08-20,,92,70,0.02,0,
1894-08-21,,91,72,0.58,0,
1894-08-22,,78,68,0.85,0,
1894-08-23,,86,71,0.01,0,
1894-08-24,,82,72,0.06,0,
1894-08-25,,85,69,0.01,0,
1894-08-26,,87,70,0,0,
1894-08-27,,86,70,0.08,0,
1894-08-28,,90,69,0.01,0,
1894-08-29,,92,68,0.16,0,
1894-08-30,,88,70,0.12,0,
1894-08-31,,89,71,0,0,
1894-09-01,,90,70,0,0,
1894-09-02,,92,70,0,0,
1894-09-03,,94,71,0,0,
1894-09-04,,94,70,0,0,
1894-09-05,,94,69,0,0,
1894-09-06,,93,70,0,0,
1894-09-07,,95,72,0,0,
1894-09-08,,95,74,0,0,
1894-09-09,,89,73,2.16,0,
1894-09-10,,90,71,0.06,0,
1894-09-11,,90,69,1.7,0,
1894-09-12,,82,71,0.66,0,
1894-09-13,,91,69,0.44,0,
1894-09-14,,92,72,0,0,
1894-09-15,,92,70,0.07,0,
1894-09-16,,92,70,0,0,
1894-09-17,,91,71,0,0,
1894-09-18,,87,70,0,0,
1894-09-19,,84,58,0,0,
1894-09-20,,88,60,0,0,
1894-09-21,,89,63,0,0,
1894-09-22,,93,67,0,0,
1894-09-23,,94,70,0,0,
1894-09-24,,91,67,0,0,
1894-09-25,,84,63,0,0,
1894-09-26,,84,55,0,0,
1894-09-27,,87,56,0,0,
1894-09-28,,88,54,0,0,
1894-09-29,,90,55,0,0,
1894-09-30,,92,57,0,0,
1894-10-01,,93,59,0,0,
1894-10-02,,91,61,0,0,
1894-10-03,,85,69,0.07,0,
1894-10-04,,91,68,0,0,
1894-10-05,,89,55,0,0,
1894-10-06,,82,50,0,0,
1894-10-07,,90,68,0,0,
1894-10-08,,79,60,0,0,
1894-10-09,,74,40,0,0,
1894-10-10,,85,46,0,0,
1894-10-11,,86,50,0,0,
1894-10-12,,87,51,0,0,
1894-10-13,,82,62,0.06,0,
1894-10-14,,77,64,0,0,
1894-10-15,,78,41,0,0,
1894-10-16,,81,41,0,0,
1894-10-17,,86,44,0,0,
1894-10-18,,88,46,0,0,
1894-10-19,,88,53,0,0,
1894-10-20,,88,55,0,0,
1894-10-21,,84,54,0,0,
1894-10-22,,89,58,0,0,
1894-10-23,,90,63,0,0,
1894-10-24,,91,55,0,0,
1894-10-25,,92,51,0,0,
1894-10-26,,88,57,0,0,
1894-10-27,,86,44,0,0,
1894-10-28,,86,56,0.02,0,
1894-10-29,,68,61,0.6,0,
1894-10-30,,70,38,0,0,
1894-10-31,,81,41,0,0,
1894-11-01,,82,55,0,0,
1894-11-02,,69,57,0.56,0,
1894-11-03,,68,46,0,0,
1894-11-04,,73,36,0,0,
1894-11-05,,67,44,0,0,
1894-11-06,,66,33,0,0,
1894-11-07,,74,33,0,0,
1894-11-08,,78,44,0,0,
1894-11-09,,73,40,0,0,
1894-11-10,,68,46,0,0,
1894-11-11,,60,34,0,0,
1894-11-12,,65,29,0,0,
1894-11-13,,78,47,0.06,0,
1894-11-14,,69,42,0.22,0,
1894-11-15,,73,37,0,0,
1894-11-16,,82,51,0.08,0,
1894-11-17,,61,46,0.05,0,
1894-11-18,,66,61,0,0,
1894-11-19,,65,47,0.42,0,
1894-11-20,,71,36,0,0,
1894-11-21,,79,46,0,0,
1894-11-22,,82,64,0,0,
1894-11-23,,83,64,0,0,
1894-11-24,,76,62,0.05,0,
1894-11-25,,75,41,0,0,
1894-11-26,,77,38,0,0,
1894-11-27,,80,51,0,0,
1894-11-28,,76,50,0,0,
1894-11-29,,79,46,0,0,
1894-11-30,,79,55,0,0,
1894-12-01,,81,60,0,0,
1894-12-02,,84,62,0.03,0,
1894-12-03,,75,58,0,0,
1894-12-04,,57,50,0.05,0,
1894-12-05,,57,50,0.01,0,
1894-12-06,,71,52,0,0,
1894-12-07,,78,53,0,0,
1894-12-08,,,,0,0,
1894-12-09,,83,64,0.05,0,
1894-12-10,,77,50,0.35,0,
1894-12-11,,71,61,0.36,0,
1894-12-12,,64,36,0,0,
1894-12-13,,62,40,0,0,
1894-12-14,,65,36,0,0,
1894-12-15,,69,38,0,0,
1894-12-16,,78,,0.28,0,
1894-12-17,,71,46,0,0,
1894-12-18,,65,36,0,0,
1894-12-19,,69,35,0,0,
1894-12-20,,71,34,0,0,
1894-12-21,,75,34,0,0,
1894-12-22,,77,42,0,0,
1894-12-23,,77,48,0,0,
1894-12-24,,75,48,0,0,
1894-12-25,,78,48,0,0,
1894-12-26,,70,41,0.37,0,
1894-12-27,,49,27,0,0,
1894-12-28,,42,21,0,0,
1894-12-29,,43,14,0,0,
1894-12-30,,58,35,0.63,0,
1894-12-31,,46,32,0.04,0,
1895-01-01,,57,26,0,0,
1895-01-02,,66,46,0.21,0,
1895-01-03,,52,38,0,0,
1895-01-04,,61,35,0,0,
1895-01-05,,76,51,0,0,
1895-01-06,,79,,0.02,0,
1895-01-07,,,40,0.08,0,
1895-01-08,,49,31,0,0,
1895-01-09,,58,25,0,0,
1895-01-10,,64,29,0,0,
1895-01-11,,57,37,0,0,
1895-01-12,,48,24,0,0,
1895-01-13,,61,30,0.12,0,
1895-01-14,,75,56,0.03,0,
1895-01-15,,,,0,0,
1895-01-16,,,47,0.1,0,
1895-01-17,,58,40,0,0,
1895-01-18,,75,41,0,0,
1895-01-19,,80,60,0,0,
1895-01-20,,78,54,0.02,0,
1895-01-21,,74,59,0.18,0,
1895-01-22,,67,39,0,0,
1895-01-23,,68,41,0,0,
1895-01-24,,76,56,0.07,0,
1895-01-25,,69,55,0.42,0,
1895-01-26,,56,34,0,0,
1895-01-27,,50,34,0,0,
1895-01-28,,45,38,0.54,0,
1895-01-29,,47,36,0,0,
1895-01-30,,54,37,0.04,0,
1895-01-31,,60,28,0,0,
1895-02-01,,60,41,0.96,0,
1895-02-02,,44,39,0.02,0,
1895-02-03,,56,35,0,0,
1895-02-04,,,,0,0,
1895-02-05,,52,38,0.07,0,
1895-02-06,,74,,0.32,0,
1895-02-07,,,18,0,0,
1895-02-08,,32,13,0,0,
1895-02-09,,39,19,0,0,
1895-02-10,,46,24,1,0,
1895-02-11,,49,32,0.12,0,
1895-02-12,,39,30,0,0,
1895-02-13,,39,25,0,0,
1895-02-14,,26,24,0,0,
1895-02-15,,34,24,1.4,14,
1895-02-16,,39,22,0,0,
1895-02-17,,44,18,0,0,
1895-02-18,,62,29,0,0,
1895-02-19,,57,37,0,0,
1895-02-20,,56,27,0,0,
1895-02-21,,68,33,0,0,
1895-02-22,,71,49,0,0,
1895-02-23,,62,48,0.45,0,
1895-02-24,,68,47,0,0,
1895-02-25,,72,49,0,0,
1895-02-26,,75,48,0,0,
1895-02-27,,78,50,0,0,
1895-02-28,,73,50,0,0,
1895-03-01,,68,50,1.95,0,
1895-03-02,,51,36,0.36,0,
1895-03-03,,65,34,0,0,
1895-03-04,,63,51,0,0,
1895-03-05,,68,28,0,0,
1895-03-06,,77,49,0,0,
